Country,oneStar,twoStars,threeStars,totalStars,averageStars
Austria,12,5,1,25,1.39
United States,155,33,14,263,1.3
Faroe Islands,0,1,0,2,2.2
Denmark,22,4,1,33,1.2
Greece,3,1,0,5,1.25
China,34,10,8,78,1.5
Hong Kong,18,6,2,36,1.38
Hungary,5,1,0,7,1.67
Macao,3,1,0,5,1.25
Irelan,13,1,0,15,1
Taiwan,18,5,1,31,1.29
Thailand,22,4,0,30,1.15
United Kingdom,136,19,5,189,1.18
Norway,7,0,1,10,1.25
Croatia,5,0,0,5,1
Czech Republic,2,0,0,2,1
Finland,6,0,0,6,1
Poland,2,0,0,2,1
Jersey,2,0,0,2,1
